arm_id,workload,workers,repetition,valid_for_capacity_comparison,throughput_cases_per_second,case_latency_p95_ms,case_latency_p99_ms,end_to_end_ms,collector_missed_samples,worker_cluster_cpu_percent_peak,worker_cluster_rss_bytes_peak
transient_5pct_v1-r02-p01-w02,transient_5pct_v1,2,2,True,29.548333320302113,25.0,25.0,16921.428176000005,0,56.97,148656619
transient_5pct_v1-r02-p02-w04,transient_5pct_v1,4,2,True,20.775658137849042,25.0,25.0,24066.626274000017,0,123.84,294125568
transient_5pct_v1-r02-p03-w01,transient_5pct_v1,1,2,True,17.582774009901286,25.0,25.0,28436.923532000008,0,48.39,75182899
transient_5pct_v1-r02-p04-w08,transient_5pct_v1,8,2,True,23.237919293264895,25.0,25.0,21516.556353,0,259.09000000000003,602941686
transient_5pct_v1-r04-p01-w08,transient_5pct_v1,8,4,True,22.084510377758644,25.0,25.0,22640.302702999976,0,181.81,589058540
transient_5pct_v1-r04-p02-w01,transient_5pct_v1,1,4,True,20.812207647877973,25.0,25.0,24024.361493000015,0,49.13,75403100
transient_5pct_v1-r04-p03-w04,transient_5pct_v1,4,4,True,35.856186827208816,25.0,25.0,13944.594901000017,0,145.07,304328213
transient_5pct_v1-r04-p04-w02,transient_5pct_v1,2,4,True,33.902355379606064,25.0,25.0,14748.237825999979,0,61.67,149589852
transient_5pct_v1-r03-p01-w04,transient_5pct_v1,4,3,True,34.744805030497695,25.0,25.0,14390.640544999997,0,105.03,294324798
transient_5pct_v1-r03-p02-w08,transient_5pct_v1,8,3,True,10.967593504955719,25.0,25.0,45588.852265000016,0,158.85,601515623
transient_5pct_v1-r03-p03-w02,transient_5pct_v1,2,3,True,11.36813345125252,25.0,25.0,43982.594164999966,0,52.260000000000005,149673739
transient_5pct_v1-r03-p04-w01,transient_5pct_v1,1,3,True,20.515158877340763,25.0,25.0,24372.221682000032,0,52.48,75256300
io_latency_v1-r01-p01-w01,io_latency_v1,1,1,True,21.9894096398749,25.0,25.0,22738.218450999964,0,27.97,75445043
io_latency_v1-r01-p02-w02,io_latency_v1,2,1,True,36.53015942480986,25.0,25.0,13687.320501000046,0,53.739999999999995,149579366
io_latency_v1-r01-p03-w08,io_latency_v1,8,1,True,24.577047963286613,25.0,25.0,20344.184572000016,0,160.19,578478406
io_latency_v1-r01-p04-w04,io_latency_v1,4,1,True,39.36678994553303,25.0,25.0,12701.060987999994,0,118.97,294345768
io_latency_v1-r03-p01-w04,io_latency_v1,4,3,True,40.732883509624514,25.0,25.0,12275.094638999917,0,113.16,303436923
io_latency_v1-r03-p02-w08,io_latency_v1,8,3,True,25.610123440364262,25.0,25.0,19523.52948099997,0,158.16,588691539
io_latency_v1-r03-p03-w02,io_latency_v1,2,3,True,32.060968933939094,25.0,25.0,15595.286624999972,0,59.38,150218998
io_latency_v1-r03-p04-w01,io_latency_v1,1,3,True,20.9642044691645,25.0,25.0,23850.17760799997,0,45.29,75403100
io_latency_v1-r02-p01-w02,io_latency_v1,2,2,True,10.735256834311631,25.0,25.0,46575.50422099996,0,49.489999999999995,156164424
io_latency_v1-r02-p02-w04,io_latency_v1,4,2,True,33.159552263904295,25.0,25.0,15078.611315999979,0,97.43,302052803
io_latency_v1-r02-p03-w01,io_latency_v1,1,2,True,23.160518143359873,25.0,25.0,21588.463475000026,0,49.07,88929731
io_latency_v1-r02-p04-w08,io_latency_v1,8,2,True,23.82297187714849,25.0,25.0,20988.145499999973,0,157.65,584465777
transient_5pct_v1-r01-p01-w01,transient_5pct_v1,1,1,True,21.424360878115788,25.0,25.0,23337.91905600003,0,28.31,75350671
transient_5pct_v1-r01-p02-w02,transient_5pct_v1,2,1,True,34.06024735258868,25.0,25.0,14679.86990299994,0,69.59,161470219
transient_5pct_v1-r01-p03-w08,transient_5pct_v1,8,1,True,23.15032662282127,25.0,25.0,21597.96741299999,0,207.09,614392135
transient_5pct_v1-r01-p04-w04,transient_5pct_v1,4,1,True,33.78890071783263,25.0,25.0,14797.758713000007,0,124.23,296128349
io_latency_v1-r04-p01-w08,io_latency_v1,8,4,True,24.276684236052226,25.0,25.0,20595.893374000072,0,142.11,581624137
io_latency_v1-r04-p02-w01,io_latency_v1,1,4,True,13.264023482039322,25.0,25.0,37695.95256499997,0,27.05,75623301
io_latency_v1-r04-p03-w04,io_latency_v1,4,4,True,39.93403609978957,25.0,25.0,12520.647769000107,0,96.60000000000001,299148247
io_latency_v1-r04-p04-w02,io_latency_v1,2,4,True,29.921830100956722,25.0,25.0,16710.207842000047,0,65.67,162822881
