arm_id,source_commit,queue_size,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,contention_retries,max_retry_exits,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q100000-single_tenant-w1-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,single_tenant,1,1,100,99900,100,100,0,0,0,146.2045825000189,164.6387348000132,192.66952016997917,3613426.2475,3621436.9455500003,30.269687000014756,60.687880000025984,62.767824979981164,18.351002173999973,5.449293670820975,159.8385,353.562,0.4520805403295603,15.269170901031162,95690752,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-single_tenant-w2-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,single_tenant,2,1,100,99900,100,100,0,97,0,745.5354385000135,1337.1643695999717,1605.5015057400096,3628323.6205,3647957.2855499997,102.39255249996404,155.61068574996563,214.66107426999062,43.29388008899997,2.309795282714977,168.176,335.2685,0.5016158690721019,11.363187863704448,97083392,4,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-single_tenant-w4-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,single_tenant,4,1,100,99900,101,100,1,274,1,2909.2565739999827,8809.045318000017,16689.930465999965,3660469.308,3703223.7825999996,215.3133190000176,397.8740604000109,417.9572556699395,98.59316555999999,1.0142690868277666,183.15050000000002,323.342,0.5664296627100718,7.990822024276629,102858752,7,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-single_tenant-w8-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,single_tenant,8,1,100,99900,106,100,6,504,6,4509.926586999995,41386.53672599998,43680.8409792501,3703246.8564999998,3761750.84755,309.35046000001876,890.0135265499273,1003.3936883499316,159.21120829100005,0.6280964831145801,184.15300000000002,340.092,0.5414799524834457,6.945486048186152,103391232,11,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w1-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,balanced_multi_tenant,1,1,100,99900,100,100,0,0,0,275.3100774999666,312.09314690002543,361.06469562998655,3620582.628,3633602.4671,14.570418999937829,22.563411050089144,27.91074045991083,29.712201610999955,3.3656206735948615,345.477,448.8605,0.769675656467878,9.371900801753755,103346176,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w2-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,balanced_multi_tenant,2,1,100,99900,100,100,0,0,0,419.6311259999561,785.4640940999616,1023.4833378699672,3627218.421,3637114.14585,25.187858999970558,79.71044144994721,88.53724775992646,28.36957809599994,3.5249026143994655,359.1155,1456.75,0.2465182769864424,10.30627808459464,103354368,4,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w4-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,balanced_multi_tenant,4,1,100,99900,100,100,0,3,0,997.0501410000452,1189.6944903499957,2213.5131278299655,3621882.766,3634256.2237500004,103.725465000025,186.44215165003857,190.42139183000478,28.77589320000004,3.475131051709625,183.2805,362.1385,0.5061060892448607,10.092313158849215,103370752,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-balanced_multi_tenant-w8-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,balanced_multi_tenant,8,1,100,99900,100,100,0,73,0,1593.8851310000928,9541.26859705011,14411.156825980132,4321655.6595,4337261.2371499995,187.45828650003205,287.41514969987065,316.8229824998639,39.456226158999925,2.534454248032287,160.85000000000002,345.84900000000005,0.4650873647169719,9.29396076356266,103448576,10,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-skew_20_to_1-w1-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,skew_20_to_1,1,1,100,99900,100,100,0,0,0,157.82343399996535,169.40660240016996,193.76470534992907,3583484.872,3620448.63835,27.517219500055035,46.94233130004475,60.157911060014214,18.223162558000013,5.487521701116569,176.461,316.18449999999996,0.558095036284195,13.249732533061442,103436288,2,0,100,100,100,0,0,0,0,0,0,0,2,95239,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q100000-skew_20_to_1-w2-b1,9987a28d707653a45fffa60a283461e2514e3103,100000,skew_20_to_1,2,1,100,99900,100,100,0,1,0,396.10739250008464,481.94824490008153,588.281050750107,3586430.0604999997,3625945.72445,69.52577449999353,109.5830153998803,166.5485438699149,23.308338722999906,4.290310055487707,191.39499999999998,397.748,0.4811966370666854,12.214797523045286,103448576,5,0,100,100,100,0,0,0,0,0,0,0,1,95239,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
