arm_id,source_commit,queue_size,tenant_count,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,empty_while_eligible,contention_retries,contention_retry_per_success,max_retry_exits,waiting_fallbacks,tenant_turn_reserved,tenant_turn_without_job,reservation_miss_rate,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,reservation_latency_p50_ms,reservation_latency_p95_ms,reservation_latency_p99_ms,job_claim_latency_p50_ms,job_claim_latency_p95_ms,job_claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q1000-single_tenant-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,20.462724499992646,26.351219900004704,30.48986974000258,8.59705199999894,12.390214899994588,15.13532863000467,11.732518499982802,16.343349100013427,18.342851129991782,3601989.002,3603521.4486000002,12.20935499999598,16.86680964999283,18.645131300012306,3.569053270000012,28.01863475688601,1.847,2.229,0.8286227007626737,69.54325924084601,95285248,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,2,1,100,900,100,100,0,0,100,1.0,0,99,100,0,0.0,45.59495750000053,54.80554229999086,93.14326143997845,12.095338000008837,17.724881599994543,23.201696380004073,12.308124500009399,21.522622649999327,24.449393899973554,3601909.9965,3603419.1022,19.73126750000631,25.79108410002391,27.38070055000776,3.4718556300000216,28.80304098359049,1.896,2.3655,0.8015218769816106,87.72873139313056,96464896,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w4-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,4,1,100,900,100,100,0,0,242,2.42,0,150,100,0,0.0,77.02833099999395,313.42169354999487,454.4913408899994,16.860243499991157,24.271694950014933,51.63220029999261,17.244990999998322,28.31762404999125,33.16122506000084,3602229.9035,3604073.5577,26.181200999999987,35.94142704998404,40.47803002000511,4.145949247999994,24.119928638354658,1.8515,2.3365,0.7924245666595334,95.11695226135114,97505280,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w8-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,8,1,100,900,100,100,0,0,467,4.67,0,250,100,0,0.0,72.02051950000055,1335.2231285000107,2813.0374831500108,22.80322900000442,34.4099081999957,97.98785116000232,19.30755699999054,40.19169960000396,51.83789408000565,3603209.484,3605223.35185,36.33261800000298,47.17462190000105,50.87286230998332,5.247556537999998,19.056488343832694,2.398,3.3200000000000003,0.7222891566265061,96.53154732718005,97656832,9,4,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,13.945987500008528,27.185955200017986,32.87292753997769,2.844389500012312,14.394218249985611,18.887641159999912,10.676252999999747,15.825100499992573,18.49969318999063,3601750.967,3603026.2959000003,11.73686500000315,17.445200649997616,21.87277937998262,3.0230069969999818,33.07964556457843,3.3255,3.637,0.914352488314545,72.04774061593135,97816576,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,24.825656499999127,35.71891249999908,82.53275010000472,7.15048300000376,17.55110680000911,52.309733890000736,15.053890999993769,23.9158270500198,30.20278811001081,3601312.1715,3602229.92155,16.364003999996157,22.900228099992148,23.889128970000133,2.194693889000007,45.56444090048664,3.1965,3.5685000000000002,0.8957545187053383,89.47594276551958,98463744,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w4-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,46.70258850001119,120.11811690000656,165.5800436400154,16.902262499996823,26.42089444998703,82.29511011999908,29.446552999985443,85.99187179999888,103.77135672999628,3601340.5889999997,3602214.80825,31.524495500008243,37.721842049994336,42.800990569996706,2.1968299090000016,45.52013771768068,3.6555,3.8215,0.9565615595970169,95.81995412463216,99123200,5,3,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w8-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,8,1,100,900,100,100,0,0,96,0.96,0,60,100,0,0.0,138.76784350000548,343.4304848999915,429.0691087900051,27.241942000003405,71.42640924998744,175.3717432500168,43.32666050001421,82.63967525000737,175.1064294999751,3601751.045,3602905.3655,52.98490400001299,65.05999000002163,82.2145202199812,2.8888426589999767,34.61593856226727,3.946,4.0525,0.9737199259716225,94.42485946757215,99188736,9,3,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,2,skew_20_to_1,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,19.862161500000752,28.32841775000219,34.09040877001098,8.992878500009738,14.543801200014167,21.484800330017745,11.319575499996404,14.692820299998742,16.229660939978388,3600333.363,3603018.4568000003,11.104633499982697,16.90504809997719,18.45557699998808,3.1031077100000175,32.22575860893963,3.341,3.7045000000000003,0.9018760966392225,68.69100876295366,99209216,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,2,skew_20_to_1,2,1,100,900,100,100,0,0,3,0.03,0,3,100,0,0.0,30.98888899998542,39.53301429999811,88.92784851000478,12.789363000024423,17.848299099983926,53.053390059988736,17.89918599999396,23.727258800016667,34.79753458000805,3600308.3825,3602510.0641499995,17.25014950000059,24.883263850003345,27.76091519000005,2.5817604480000114,38.73326050736662,3.3985000000000003,3.826,0.8882645060115003,85.53391488008391,99692544,3,1,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
