arm_id,source_commit,queue_size,tenant_count,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,empty_while_eligible,contention_retries,contention_retry_per_success,max_retry_exits,waiting_fallbacks,tenant_turn_reserved,tenant_turn_without_job,reservation_miss_rate,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,reservation_latency_p50_ms,reservation_latency_p95_ms,reservation_latency_p99_ms,job_claim_latency_p50_ms,job_claim_latency_p95_ms,job_claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q1000-single_tenant-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,24.26011800000083,30.30656490001106,76.29511801999432,12.198822499996709,17.7944948500091,21.745692589992686,11.708120000001543,16.323763599997676,38.90303535999946,3602250.1115,3603919.0837999997,12.099581500002898,16.971604750003166,19.476167030007684,3.9554497459999993,25.281575148597533,4.784000000000001,3.261,1.4670346519472557,63.74663982395089,101183488,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,2,1,100,900,100,100,0,0,113,1.13,0,96,100,0,0.0,48.95803899999862,65.02952149999999,81.36405909000165,8.326888000013355,18.511355200001844,28.127758040000096,6.667776000000458,22.29074659999809,26.62431619998983,3601923.1095000003,3603583.61545,20.063410999995313,26.50624824998786,28.689923709995703,3.6287929209999987,27.557372982430383,3.045,2.4965,1.2197075906268775,85.35477034458206,102019072,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w4-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,4,1,100,900,100,100,0,0,260,2.6,0,165,100,0,0.0,129.95944749999921,256.886436600007,431.9901037499959,14.123526999995306,25.136404949990524,46.696574249999514,14.47764050000444,27.441023649995344,32.48837488999386,3602309.7495,3604023.8389500002,25.533909500005336,35.148272700001115,37.82402211999994,4.121970156999993,24.26024357070574,3.3455000000000004,2.9749999999999996,1.1245378151260508,93.64120900887943,102748160,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w8-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,1,single_tenant,8,1,100,900,100,100,0,0,570,5.7,0,320,100,0,0.0,241.14671950000144,1338.1882303500008,1546.2523604900084,24.22505550000409,40.44602885000187,104.97137176000115,17.09897600000687,42.44866365000064,55.58936557000502,3603506.9945,3605819.5644000005,37.29759149999978,50.73908350000379,79.75261027000617,5.897180182,16.95725701331471,3.5995,2.452,1.4679853181076672,95.82610545373362,103284736,9,6,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,16.8245714999955,27.49328439999416,37.6538840200049,3.0785015000063254,13.539290149998351,19.110409349995923,13.162829000002318,18.03848835000963,19.28819940000344,3601902.375,3603286.8356,12.005169500000079,19.122972549997996,20.433162009988738,3.2927223829999974,30.370006447033067,4.3309999999999995,3.4885,1.2415078113802491,66.2998437484732,103264256,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,28.040883999999267,38.131192350001434,98.78130210999332,9.78784600000182,16.132359699995646,54.45296524999595,17.574651499998595,25.433904400009762,40.70662862000449,3601426.2505,3602399.7593500004,16.49291149999499,22.99858190000918,29.43653598001149,2.3524687580000005,42.508534772218205,4.5825,3.7275,1.2293762575452716,86.47817468698561,103292928,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w4-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,49.91946650000756,120.4049449000017,176.4843046099981,17.981330999994327,34.651637499997854,82.58360777000382,31.588611999993077,94.1709777499966,104.44723203000338,3601346.55,3602231.2583500003,30.228077499998562,41.850285500000695,44.56386688000466,2.273475872000006,43.985511890226796,5.223000000000001,3.7990000000000004,1.3748354830218479,92.21180720760226,103804928,5,3,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w8-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,4,balanced_multi_tenant,8,1,100,900,100,100,0,0,94,0.94,0,59,100,0,0.0,139.14373549999937,289.6610996500072,537.6316445900019,26.188883499997928,78.12485735000291,176.84599634000583,46.13250949999781,82.21875539999955,174.63985057000073,3601760.5165,3602887.35925,50.78705550000251,68.39614779999579,79.53735094999178,2.894037412000003,34.55380348068558,6.003,4.055,1.4803945745992604,94.43111895057966,103817216,9,3,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w1-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,2,skew_20_to_1,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,24.929474000003893,32.40044364999122,36.03132918000691,11.166076000002079,15.37707984999983,16.45862954999475,14.10178349999569,18.84251319999848,21.20545058000351,3600371.484,3603545.72535,12.157775499993306,16.962162699996952,18.368784759988607,3.652772108999997,27.37646834129396,5.1,2.7375,1.8630136986301369,63.9930762513387,103788544,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w2-b1,91acdba9f5b5f1a84fb03640382c9e4871364afe,1000,2,skew_20_to_1,2,1,100,900,100,100,0,0,6,0.06,0,3,100,0,0.0,34.50981649999818,52.36337209999319,95.41667950998792,13.857823499996869,20.306385499996082,53.36440889999361,19.879079500000785,26.559045500000877,39.98619894999537,3600351.247,3602728.4693,17.194440499999075,23.56467370000814,31.910876980000893,2.800996800000007,35.70157595324627,5.177,3.0805,1.6805713358221068,79.2734179846259,104136704,3,1,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
