arm_id,workload,workers,repetition,valid_for_capacity_comparison,throughput_cases_per_second,case_latency_p95_ms,case_latency_p99_ms,end_to_end_ms,collector_missed_samples,worker_cluster_cpu_percent_peak,worker_cluster_rss_bytes_peak
transient_5pct_v1-r02-p01-w02,transient_5pct_v1,2,2,True,22.578188608193727,25.0,25.0,22145.266330999988,0,104.34,148132332
transient_5pct_v1-r02-p02-w04,transient_5pct_v1,4,2,True,14.517005105371913,25.0,25.0,34442.36578900001,0,105.58999999999999,301675315
transient_5pct_v1-r02-p03-w01,transient_5pct_v1,1,2,True,16.812637514540533,25.0,25.0,29739.53370299998,0,59.72,87660954
transient_5pct_v1-r02-p04-w08,transient_5pct_v1,8,2,True,13.036316312280858,25.0,25.0,38354.393067999976,0,246.01999999999998,611508553
transient_5pct_v1-r04-p01-w08,transient_5pct_v1,8,4,True,12.963118468051988,25.0,25.0,38570.96587000001,0,230.43,605384867
transient_5pct_v1-r04-p02-w01,transient_5pct_v1,1,4,True,17.590612957291242,25.0,25.0,28424.25111699998,0,64.74,75497472
transient_5pct_v1-r04-p03-w04,transient_5pct_v1,4,4,True,6.538517642161873,25.0,25.0,76469.93207999998,0,203.4,316145665
transient_5pct_v1-r04-p04-w02,transient_5pct_v1,2,4,True,26.803815096855487,25.0,25.0,18654.060931000004,0,76.3,149180908
transient_5pct_v1-r03-p01-w04,transient_5pct_v1,4,3,True,23.597561331941566,25.0,25.0,21188.630171,0,142.36,306886738
transient_5pct_v1-r03-p02-w08,transient_5pct_v1,8,3,True,12.905714384216068,25.0,25.0,38742.52793100004,0,192.24,599082927
transient_5pct_v1-r03-p03-w02,transient_5pct_v1,2,3,True,27.23842396871421,25.0,25.0,18356.421816999955,0,94.53,152494408
transient_5pct_v1-r03-p04-w01,transient_5pct_v1,1,3,True,17.575749335394143,25.0,25.0,28448.289199999977,0,44.11,75382129
io_latency_v1-r01-p01-w01,io_latency_v1,1,1,True,18.168731121244218,25.0,25.0,27519.808436999938,0,35.76,78328627
io_latency_v1-r01-p02-w02,io_latency_v1,2,1,True,30.234064324401523,25.0,25.0,16537.63763400002,0,66.15,148614676
io_latency_v1-r01-p03-w08,io_latency_v1,8,1,True,13.766253150770174,25.0,25.0,36320.70357299995,0,296.94,591008891
io_latency_v1-r01-p04-w04,io_latency_v1,4,1,True,27.424182964051358,25.0,25.0,18232.08372900001,0,156.91,304013640
io_latency_v1-r03-p01-w04,io_latency_v1,4,3,True,2.6714272423227636,25.0,25.0,187165.868521,0,144.68,316921610
io_latency_v1-r03-p02-w08,io_latency_v1,8,3,True,14.212004818266882,25.0,25.0,35181.524802000014,0,206.63,598841754
io_latency_v1-r03-p03-w02,io_latency_v1,2,3,True,6.2268872171046645,25.0,25.0,80296.9417249999,0,47.07,148604191
io_latency_v1-r03-p04-w01,io_latency_v1,1,3,True,14.011580217621757,25.0,25.0,35684.76875800002,0,37.82,75476500
io_latency_v1-r02-p01-w02,io_latency_v1,2,2,True,30.354083266151815,25.0,25.0,16472.24841599996,0,67.36,148771963
io_latency_v1-r02-p02-w04,io_latency_v1,4,2,True,25.298831863830355,25.0,25.0,19763.758370000003,0,166.69,303961211
io_latency_v1-r02-p03-w01,io_latency_v1,1,2,True,18.249552781277426,25.0,25.0,27397.931663999996,0,46.55,88426414
io_latency_v1-r02-p04-w08,io_latency_v1,8,2,True,1.7768532735646543,25.0,25.0,281396.3355550002,0,234.15,601798738
transient_5pct_v1-r01-p01-w01,transient_5pct_v1,1,1,True,7.395624977412362,25.0,25.0,67607.53844700003,0,43.69,75424072
transient_5pct_v1-r01-p02-w02,transient_5pct_v1,2,1,True,10.063232145494831,25.0,25.0,49685.82586299999,0,97.14,160945931
transient_5pct_v1-r01-p03-w08,transient_5pct_v1,8,1,True,12.422427147152469,25.0,25.0,40249.78324099993,0,269.55,638981243
transient_5pct_v1-r01-p04-w04,transient_5pct_v1,4,1,True,24.84344193548175,25.0,25.0,20126.03572800003,0,134.31,304412098
io_latency_v1-r04-p01-w08,io_latency_v1,8,4,True,1.651840029671742,25.0,25.0,302692.7493090002,0,172.04,604357262
io_latency_v1-r04-p02-w01,io_latency_v1,1,4,True,10.193526874438337,25.0,25.0,49050.7364289997,0,55.21,88499814
io_latency_v1-r04-p03-w04,io_latency_v1,4,4,True,25.519934231013657,25.0,25.0,19592.52698199998,0,142.92,304024126
io_latency_v1-r04-p04-w02,io_latency_v1,2,4,True,29.54013333447585,25.0,25.0,16926.12536100023,0,65.49,153805128
