arm_id,source_commit,queue_size,tenant_count,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,empty_while_eligible,contention_retries,contention_retry_per_success,max_retry_exits,waiting_fallbacks,tenant_turn_reserved,tenant_turn_without_job,reservation_miss_rate,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,reservation_latency_p50_ms,reservation_latency_p95_ms,reservation_latency_p99_ms,job_claim_latency_p50_ms,job_claim_latency_p95_ms,job_claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit,scheduler_coordination_wait_ms_count,scheduler_coordination_wait_ms_sum,scheduler_coordination_wait_ms_p50,scheduler_coordination_wait_ms_p95,scheduler_coordination_wait_ms_p99,tenant_permit_wait_ms_count,tenant_permit_wait_ms_sum,tenant_permit_wait_ms_p50,tenant_permit_wait_ms_p95,tenant_permit_wait_ms_p99,job_row_wait_ms_count,job_row_wait_ms_sum,job_row_wait_ms_p50,job_row_wait_ms_p95,job_row_wait_ms_p99,durable_sequence_wait_ms_count,durable_sequence_wait_ms_sum,durable_sequence_wait_ms_p50,durable_sequence_wait_ms_p95,durable_sequence_wait_ms_p99,transaction_commit_ms_count,transaction_commit_ms_sum,transaction_commit_ms_p50,transaction_commit_ms_p95,transaction_commit_ms_p99,claim_total_ms_count,claim_total_ms_sum,claim_total_ms_p50,claim_total_ms_p95,claim_total_ms_p99,generation_advance_count,job_skip_locked_miss_count,permit_consumed_count,permit_empty_count,permit_pending_count,round_created_count,performance_attribution_enabled
fair-q1000-single_tenant-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,17.068215999998415,22.212989700012997,25.697147920025824,7.042484999999488,9.576256899998725,12.167752549981445,9.950460999988309,14.78388985001402,15.44728291001212,3601724.9365,3602992.7006,10.13560100000177,14.03042889999568,16.500321429993257,2.9934302650000006,33.40649059683372,1.9895,2.4115,0.8250051834957495,66.29196731930548,95424512,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-single_tenant-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,2,1,100,900,100,100,0,0,103,1.03,0,99,100,0,0.0,39.85588249999239,50.692089349998064,78.61779624000799,8.72526999998513,15.653002700017282,20.147464260011244,7.254311999986385,20.4953856000003,23.087316999993835,3601742.434,3603035.9789500004,17.072529499998268,23.011379750022343,25.37080327000925,3.068144160999992,32.59299262111832,2.0355,2.4560000000000004,0.8287866449511399,85.87787736614136,96747520,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-single_tenant-w4-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,4,1,100,900,100,100,0,0,266,2.66,0,171,100,0,0.0,117.69826549999607,234.90771139999396,301.73709024000266,13.362500999988924,23.94375800001569,60.39561534999082,14.406297999997264,24.773911999986353,30.140425100007946,3602019.5300000003,3603716.45165,23.25916550000784,31.85129969999707,66.84992419000169,3.756374488000006,26.621413897750827,2.09,2.259,0.9251881363435148,93.2260774900672,97853440,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-single_tenant-w8-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,8,1,100,900,100,100,0,0,462,4.62,0,249,100,0,0.0,62.47151450000388,1428.5827264000004,2505.2750245199745,19.724279499996555,29.69368915001666,100.64816448999721,16.364757999994595,34.24699119997995,38.97165923999637,3602827.8105,3604600.9277999997,32.129040499995654,44.34923650000684,46.73597410000493,4.635298497000008,21.573583678531293,1.7265000000000001,2.1045,0.820384889522452,95.33855390025366,98021376,9,5,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,11.641682999993463,19.247554050014056,23.57162067998635,2.3972679999957336,9.118694549985662,14.268319930009294,8.969771999986165,14.243886299986741,16.404805400008545,3601411.815,3602453.3507499998,9.770227499984685,13.879223699991883,16.29760842000679,2.456168474000009,40.713819535817244,1.6935,2.8120000000000003,0.6022403982930298,68.95839299824812,98238464,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,20.833591500007742,27.82098885001715,75.85975165001236,5.130330000000072,12.731222449997404,46.934771459986884,13.780746999998428,19.169469000003403,28.906458219976823,3601137.688,3601940.5478999997,14.596242500005019,21.095065600015058,22.8200347200027,1.9092048009999871,52.37782764197055,1.739,2.832,0.6140536723163843,90.38663264916089,98938880,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w4-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,39.070576999989726,49.78410619997787,169.63064696001229,13.284267999978283,19.474370949991734,70.02494936000693,25.96389800000054,36.79562455000251,95.52644256999459,3601105.0905,3601859.532,26.654975999989006,39.77046599999454,44.43900873998778,1.835071352,54.49379387401608,1.7385000000000002,2.826,0.6151804670912951,97.12959858794636,99241984,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-balanced_multi_tenant-w8-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,8,1,100,900,100,100,0,0,89,0.89,0,56,100,0,0.0,104.2962005000021,290.21295319998893,502.3260729800168,22.83950700001469,64.84611939999343,148.10579704001734,36.20519500000796,68.2778657999961,117.58390432000873,3601412.6015,3602374.4244,41.962059000013596,51.168500700016736,101.14258903998179,2.3795399999999916,42.024929187994466,1.7715,2.835,0.6248677248677249,93.50608894996557,99446784,9,3,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-skew_20_to_1-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,2,skew_20_to_1,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,16.566162000003715,23.617744050012845,25.07138857999186,6.914346999991494,9.58167989999623,11.048962730016152,9.689481999998861,13.927317699990734,15.965302539987686,3600277.1645,3602544.04825,9.770888000019795,13.973185699988733,15.670164840002494,2.6216202120000105,38.144350406770364,1.79,2.332,0.767581475128645,67.2887547145595,99450880,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
fair-q1000-skew_20_to_1-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,2,skew_20_to_1,2,1,100,900,100,100,0,0,3,0.03,0,3,100,0,0.0,24.42112799998597,49.585154450005554,77.12306727999281,9.5350329999917,14.500406199996974,44.497750300015525,14.724310999980617,23.483872999986488,57.770301739982514,3600272.421,3602170.51565,15.061227000003896,20.895409949991972,30.63816807000452,2.2215371709999943,45.013876565021135,1.7894999999999999,2.6310000000000002,0.6801596351197262,84.61672550605294,99872768,4,1,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,False
