arm_id,source_commit,queue_size,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,contention_retries,max_retry_exits,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q1000-single_tenant-w1-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,single_tenant,1,1,100,900,100,100,0,0,0,287.2934520000854,329.8854216999871,348.1482182401897,3617443.0379999997,3630091.55525,9.904113500169842,14.298865700015995,15.720127120180265,29.88800650500025,3.345823682930143,422.23350000000005,2.4545000000000003,172.02424118965166,10.124349954533624,100794368,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w2-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,single_tenant,2,1,100,900,102,100,2,49,2,13.867683500166095,18.81439235019113,598.5630735700015,3601583.0395,3602637.02635,12.698592500100858,17.214504250136997,21.6050555398806,2.6387577780001266,37.89661970254369,6.464,2.062,3.134820562560621,59.66166171542875,101400576,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w4-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,single_tenant,4,1,100,900,100,100,0,176,0,87.2317944997576,466.2807803001442,535.7462965696749,3602421.9865,3604513.4353,25.235752000071443,65.13891764991511,74.72802826981486,4.588793002999864,21.792222907990464,6.7765,2.483,2.729158276278695,50.54862212097192,102531072,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w8-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,single_tenant,8,1,100,900,105,100,5,506,5,395.1482459997351,2376.0839483998097,2605.3841022801134,3605915.9390000002,3610862.4565500002,108.47681900008865,196.59133514962832,213.3582656297588,11.086179729999913,9.020239833329924,6.769,1.9615,3.450930410400204,38.758203183126945,103194624,9,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w1-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,15.160944999934145,20.057960300255218,25.660193449898664,3601507.0185000002,3602589.78345,9.191812000153732,14.135327750273063,15.50599703011813,2.563712614999986,39.00593202799392,10.062999999999999,2.9234999999999998,3.4421070634513424,51.986926233539954,103170048,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w2-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,17.034856000009313,25.946352749838297,61.07668665016264,3601006.0635,3601647.3554499997,11.905148999858284,19.642621499951925,21.729667289869223,1.6303821070000595,61.33531493669438,7.25,2.6055,2.782575321435425,79.16104779724215,103178240,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w4-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,29.272614500087002,68.92552565022923,131.7680292102341,3601165.308,3601824.7571,26.85332400005791,52.39104775002943,58.87488070012755,1.7828897429999415,56.088717988660996,7.393,2.645,2.795085066162571,74.74139313616787,103301120,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w8-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,balanced_multi_tenant,8,1,100,900,100,100,0,46,0,92.13344499971754,381.5172623001217,501.4199464400831,3601747.4535000003,3602993.7559,96.52469200000269,144.73795105006954,169.24258674013802,3.0201909840002372,33.110488882908385,7.2415,2.6575,2.7249294449670742,57.48295091923437,103743488,9,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w1-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,skew_20_to_1,1,1,100,900,100,100,0,0,0,12.075204500206382,16.594781849880746,20.329509239973213,3600272.026,3602315.7295999997,9.063519999699565,13.849664450185628,15.717510709914682,2.345590087000346,42.63319518368396,8.4085,2.6159999999999997,3.2142584097859332,55.51874593166314,103698432,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w2-b1,05dc5264545df0714fa0918818c6383ee7eb3403,1000,skew_20_to_1,2,1,100,900,100,100,0,2,0,18.803269499812814,27.954022400172075,61.57577045017206,3600252.9515,3601801.2346,14.72132299977602,19.827481499851274,20.306753770300933,1.8187681989998055,54.9822676990905,8.2925,2.0700000000000003,4.0060386473429945,72.32706596274407,103706624,3,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
