arm_id,source_commit,queue_size,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,contention_retries,max_retry_exits,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q1000-single_tenant-w1-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,single_tenant,1,1,100,900,100,100,0,0,0,64.88725600000578,71.17678579998596,88.60713877000829,3604445.7939999998,3607772.50335,10.379117000013593,15.234950149999802,24.534532760020983,7.783379061000005,12.847890256439861,55.4745,3.4130000000000003,16.253882215060063,22.348266805041305,100581376,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w2-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,single_tenant,2,1,100,900,100,100,0,91,0,30.519943000001604,118.24654255001545,196.95418593002574,3601359.1950000003,3602407.36735,12.80593449999401,18.768445200009864,22.109713690005048,2.408895051999991,41.51280891916597,1.7645,2.319,0.7608883139284174,71.7709770529267,101502976,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w4-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,single_tenant,4,1,100,900,100,100,0,262,0,60.44659249998574,333.90542664997434,443.4477243899974,3601835.8105,3603072.6816499997,16.632540999992784,25.87117410000559,37.03864954999518,3.065201059000003,32.6242873061724,1.9565000000000001,2.849,0.6867321867321867,81.45163331682109,102621184,5,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-single_tenant-w8-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,single_tenant,8,1,100,900,113,100,13,761,13,295.2498749999961,1626.1194123999924,1770.3623460800018,3606050.1765,3608967.0519000003,80.98553300000333,147.52459994998048,160.16339673001184,8.968299430999991,11.150385953254206,1.7785,2.2270000000000003,0.7986079928154467,61.58207731010366,102977536,9,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w1-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,8.217414499995357,12.294468000003178,15.629857829990101,3601165.3109999998,3602031.2954500006,10.07590349999532,12.886656749996915,14.780695300010247,1.9951310779999858,50.12202010318277,2.1375,3.23,0.661764705882353,66.69567351604397,102936576,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w2-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,11.268708000002903,17.505439949999868,63.729018820006615,3600916.412,3601528.9868,14.870048500000621,20.090422849976612,28.50649314002455,1.4696499969999763,68.04341183556075,2.187,3.223,0.678560347502327,90.23001386091386,103014400,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w4-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,19.47628349999775,26.71593780001018,148.77896535999668,3600988.2199999997,3601522.71625,28.92266600001392,41.36695160001125,105.725316890005,1.4704651929999955,68.00568995175142,2.334,3.254,0.7172710510141365,91.75219538841573,103325696,5,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-balanced_multi_tenant-w8-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,balanced_multi_tenant,8,1,100,900,100,100,0,88,0,71.39160949999734,389.61018105001693,551.1396243300153,3601554.584,3602573.6886,68.62551350000956,98.78181115001324,173.79360276998491,2.593554600999994,38.5571215510339,2.7815,3.6615,0.7596613409804724,72.40525806844215,103358464,9,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w1-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,skew_20_to_1,1,1,100,900,100,100,0,0,0,8.276206999994429,12.151235500016353,56.55686172001323,3600287.9525,3602109.4281999995,10.01266850001059,14.115712950007262,16.526651779998094,2.097172439000019,47.68325109578607,2.6505,2.745,0.9655737704918033,67.52818731850537,103329792,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w2-b1,9987a28d707653a45fffa60a283461e2514e3103,1000,skew_20_to_1,2,1,100,900,100,100,0,3,0,12.179812500008325,17.606460600002507,58.305220560019684,3600241.0949999997,3601486.63095,14.784537000011255,20.446379999989972,23.86916852998695,1.4957141569999806,66.8576943876592,2.617,2.6305,0.9948678958372933,88.41506418930123,103337984,3,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
