arm_id,workload,workers,repetition,valid_for_capacity_comparison,throughput_cases_per_second,case_latency_p95_ms,case_latency_p99_ms,end_to_end_ms,collector_missed_samples,worker_cluster_cpu_percent_peak,worker_cluster_rss_bytes_peak
transient_5pct_v1-r02-p01-w02,transient_5pct_v1,2,2,True,34.60257311569772,25.0,25.0,14449.792457000001,0,103.66,141043957
transient_5pct_v1-r02-p02-w04,transient_5pct_v1,4,2,True,57.71245749074696,25.0,25.0,8663.640775999966,0,144.1,281804801
transient_5pct_v1-r02-p03-w01,transient_5pct_v1,1,2,True,20.771892906881686,25.0,25.0,24070.988726999985,0,36.5,81233183
transient_5pct_v1-r02-p04-w08,transient_5pct_v1,8,2,False,65.19547148134762,25.0,25.0,7669.2443299999695,0,165.13,570498744
transient_5pct_v1-r04-p01-w08,transient_5pct_v1,8,4,True,69.00909530477077,25.0,25.0,7245.421749000002,0,230.72,575416565
transient_5pct_v1-r04-p02-w01,transient_5pct_v1,1,4,True,22.263817779275943,25.0,25.0,22457.963183000003,0,28.79,71166853
transient_5pct_v1-r04-p03-w04,transient_5pct_v1,4,4,True,55.60715145424679,25.0,25.0,8991.64922,0,143.6,283367178
transient_5pct_v1-r04-p04-w02,transient_5pct_v1,2,4,True,35.732747479825825,25.0,25.0,13992.766727000002,0,63.81,150858629
transient_5pct_v1-r03-p01-w04,transient_5pct_v1,4,3,True,56.06048390634099,25.0,25.0,8918.93835299993,0,140.15,290140979
transient_5pct_v1-r03-p02-w08,transient_5pct_v1,8,3,False,65.96286792302296,25.0,25.0,7580.02215099998,0,204.13,570750403
transient_5pct_v1-r03-p03-w02,transient_5pct_v1,2,3,True,34.245705248228106,25.0,25.0,14600.370947999978,0,85.78999999999999,142543421
transient_5pct_v1-r03-p04-w01,transient_5pct_v1,1,3,True,21.600178889121917,25.0,25.0,23147.95643899993,0,53.99,71858913
io_latency_v1-r01-p01-w01,io_latency_v1,1,1,True,22.28016421234815,25.0,25.0,22441.486302999918,0,55.21,71775027
io_latency_v1-r01-p02-w02,io_latency_v1,2,1,True,40.767085788063945,25.0,25.0,12264.796228000023,0,73.18,142312735
io_latency_v1-r01-p03-w08,io_latency_v1,8,1,False,71.38792153472174,25.0,25.0,7003.985958000044,0,206.99,569796200
io_latency_v1-r01-p04-w04,io_latency_v1,4,1,True,67.20661422033919,25.0,25.0,7439.743926999995,0,113.24,308753203
io_latency_v1-r03-p01-w04,io_latency_v1,4,3,True,68.1898461910069,25.0,25.0,7332.469978000063,0,112.50999999999999,294932972
io_latency_v1-r03-p02-w08,io_latency_v1,8,3,False,83.69173078403978,25.0,25.0,5974.3058880000035,0,167.92,560956703
io_latency_v1-r03-p03-w02,io_latency_v1,2,3,True,40.43103149743592,25.0,25.0,12366.738652999971,0,56.95,141998162
io_latency_v1-r03-p04-w01,io_latency_v1,1,3,True,22.851326123374225,25.0,25.0,21880.56821300006,0,42.33,71565312
io_latency_v1-r02-p01-w02,io_latency_v1,2,2,True,40.246548307185286,25.0,25.0,12423.425636000047,0,59.25,151655547
io_latency_v1-r02-p02-w04,io_latency_v1,4,2,False,62.518625588009435,25.0,25.0,7997.616634999986,0,111.59,291420242
io_latency_v1-r02-p03-w01,io_latency_v1,1,2,True,22.57454081524517,25.0,25.0,22148.844757999996,0,57.67,71858913
io_latency_v1-r02-p04-w08,io_latency_v1,8,2,False,76.69075050622833,25.0,25.0,6519.6910539999635,0,176.75,572711238
transient_5pct_v1-r01-p01-w01,transient_5pct_v1,1,1,True,20.30522945509787,25.0,25.0,24624.198466000053,0,32.85,81044439
transient_5pct_v1-r01-p02-w02,transient_5pct_v1,2,1,True,36.49204543565453,25.0,25.0,13701.616175000026,0,89.78999999999999,141998162
transient_5pct_v1-r01-p03-w08,transient_5pct_v1,8,1,False,65.28035515771927,25.0,25.0,7659.272055000088,0,188.58,570540688
transient_5pct_v1-r01-p04-w04,transient_5pct_v1,4,1,True,56.25114030624107,25.0,25.0,8888.70869599998,0,127.49000000000001,282371031
io_latency_v1-r04-p01-w08,io_latency_v1,8,4,False,84.54501767490761,25.0,25.0,5914.009054000076,0,172.85999999999999,562141593
io_latency_v1-r04-p02-w01,io_latency_v1,1,4,True,22.447887755987775,25.0,25.0,22273.810588999822,0,51.86,75791073
io_latency_v1-r04-p03-w04,io_latency_v1,4,4,True,62.84122696694292,25.0,25.0,7956.560114000013,0,161.89,290770124
io_latency_v1-r04-p04-w02,io_latency_v1,2,4,True,41.92164093051351,25.0,25.0,11927.01404100012,0,57.75,153857556
