arm_id,source_commit,queue_size,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,contention_retries,max_retry_exits,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit
fair-q1000-skew_20_to_1-w4-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,skew_20_to_1,4,1,100,900,100,100,0,55,0,77.87737500001413,276.8236571000273,318.28975951996574,3600397.4765,3603563.7051999997,33.26760900000636,86.67332515001931,102.3800924600198,3.7410522520000313,26.73044728165405,8.668,2.0035,4.326428749688046,50.11186200347101,104022016,6,2,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-skew_20_to_1-w8-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,skew_20_to_1,8,1,100,900,101,100,1,199,1,160.14820800000962,932.9336839999769,1104.416543999946,3600513.1265000002,3605179.6702,96.51173399998925,180.2038100000459,192.03904519002324,5.308344852000005,18.838263675036746,6.026999999999999,2.02,2.9836633663366334,47.06399833949595,104218624,9,3,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-many_small_tenants-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,many_small_tenants,1,1,100,900,100,100,0,0,0,21.476837499960766,28.821074999962093,58.51857223997077,3602056.4885,3603502.6527,10.118519499997092,14.240376650008102,15.221585710047538,3.3993458219999866,29.417424774148323,18.125500000000002,3.0875000000000004,5.870607287449393,49.724650256545914,104321024,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-many_small_tenants-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,many_small_tenants,2,1,100,900,100,100,0,0,0,31.15241200003993,56.55876234998232,76.94885752008872,3601615.451,3602743.1926,15.36902600008716,24.99693510001748,29.90378092002743,2.5722512959999904,38.87645042904874,18.7455,3.3994999999999997,5.514193263715253,61.01497553682286,104333312,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-many_small_tenants-w4-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,many_small_tenants,4,1,100,900,100,100,0,0,0,73.40959250001333,139.0823917000091,168.1778944800104,3601908.603,3603024.63355,29.406444000017018,77.84215954997079,88.55714987996863,2.939484665000009,34.019568528689604,18.5015,3.3605,5.505579526856122,51.877025798329655,104562688,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q1000-many_small_tenants-w8-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,1000,many_small_tenants,8,1,100,900,100,100,0,0,0,112.34228400002166,348.23752650003706,385.4661857699501,3601920.3504999997,3603034.5768999998,88.79603450003515,179.8863323999967,192.9964903500286,3.003542210999967,33.29402184985676,9.106,3.435,2.6509461426491994,55.60191689278774,105295872,9,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q10000-single_tenant-w1-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,10000,single_tenant,1,1,100,9900,100,100,0,0,0,64.08847750003588,69.0959588499652,93.52637717002044,3604822.9979999997,3608245.3945500003,11.971255499986455,15.768375450016947,21.057358549982165,7.813252773000045,12.798766775544,59.9725,31.0055,1.934253600167712,21.658103649835525,105242624,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q10000-single_tenant-w2-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,10000,single_tenant,2,1,100,9900,100,100,0,3,0,117.70099349996599,198.84153579995427,281.1862501700125,3605136.4095,3608641.8285000003,19.63476149995813,67.97306914994579,73.40713159999049,8.342310644999998,11.987086582532797,52.575,27.7795,1.892582659875088,21.939569861222765,105259008,3,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q10000-single_tenant-w4-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,10000,single_tenant,4,1,100,9900,100,100,0,24,0,373.6225129999866,882.5533869000708,1195.9499043600306,3608699.3610000005,3614114.1391,103.73297199998888,203.62538570007587,276.8008727600398,13.754228907000083,7.270491183195734,55.656,27.958,1.9907003362186138,16.848178750468623,105791488,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
fair-q10000-single_tenant-w8-b1,f8b96fdd8a4e88f0bd1b162b95daa166f2a49aef,10000,single_tenant,8,1,100,9900,100,100,0,82,0,1003.4206774999461,3788.7996368999716,4724.213748349981,3613218.9605,3622644.62205,225.98216800003001,594.1789796499789,696.1162033400585,22.463122150999993,4.4517409168586255,55.6185,28.421,1.9569508462052707,13.320081794002972,106328064,10,4,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223
