arm_id,workload,workers,repetition,valid_for_capacity_comparison,throughput_cases_per_second,case_latency_p95_ms,case_latency_p99_ms,end_to_end_ms,collector_missed_samples,worker_cluster_cpu_percent_peak,worker_cluster_rss_bytes_peak
transient_5pct_v1-r02-p01-w02,transient_5pct_v1,2,2,True,35.384374647076925,25.0,25.0,14130.530918999995,0,117.15,154927104
transient_5pct_v1-r02-p02-w04,transient_5pct_v1,4,2,True,51.9204092955812,25.0,25.0,9630.124392,0,188.76,294408683
transient_5pct_v1-r02-p03-w01,transient_5pct_v1,1,2,True,19.684942433362213,25.0,25.0,25400.12508000001,0,51.98,71712113
transient_5pct_v1-r02-p04-w08,transient_5pct_v1,8,2,True,65.85678813436205,25.0,25.0,7592.231782999988,0,233.97,601316392
transient_5pct_v1-r04-p01-w08,transient_5pct_v1,8,4,True,62.935750006654985,25.0,25.0,7944.610177000015,0,202.9,572973383
transient_5pct_v1-r04-p02-w01,transient_5pct_v1,1,4,True,20.271051082121055,25.0,25.0,24665.716541999984,0,46.16,71785513
transient_5pct_v1-r04-p03-w04,transient_5pct_v1,4,4,True,48.3483862207862,25.0,25.0,10341.606806000016,0,110.39,282538803
transient_5pct_v1-r04-p04-w02,transient_5pct_v1,2,4,True,34.811372619668674,25.0,25.0,14363.122232000023,0,67.41,151120774
transient_5pct_v1-r03-p01-w04,transient_5pct_v1,4,3,True,49.730283495844766,25.0,25.0,10054.235866999989,0,140.32,282486375
transient_5pct_v1-r03-p02-w08,transient_5pct_v1,8,3,True,55.99909025849133,25.0,25.0,8928.716479000002,0,204.94,584455290
transient_5pct_v1-r03-p03-w02,transient_5pct_v1,2,3,True,33.25026333372306,25.0,25.0,15037.474891000045,0,62.36,155178762
transient_5pct_v1-r03-p04-w01,transient_5pct_v1,1,3,True,19.48836116273935,25.0,25.0,25656.338971999958,0,50.2,71775027
io_latency_v1-r01-p01-w01,io_latency_v1,1,1,True,21.887265724530202,25.0,25.0,22844.333609000045,0,30.49,71900856
io_latency_v1-r01-p02-w02,io_latency_v1,2,1,True,37.979341101859035,25.0,25.0,13165.05198599998,0,58.74,142228849
io_latency_v1-r01-p03-w08,io_latency_v1,8,1,True,69.46046273140242,25.0,25.0,7198.33960699998,0,192.22,577345945
io_latency_v1-r01-p04-w04,io_latency_v1,4,1,True,58.653743227467864,25.0,25.0,8524.605123000016,0,111.58,282140344
io_latency_v1-r03-p01-w04,io_latency_v1,4,3,True,56.31095105930092,25.0,25.0,8879.26754199998,0,151.03,291053240
io_latency_v1-r03-p02-w08,io_latency_v1,8,3,True,74.43730700308129,25.0,25.0,6717.061916000034,0,194.87,575227822
io_latency_v1-r03-p03-w02,io_latency_v1,2,3,True,39.20639887209401,25.0,25.0,12753.02028200008,0,92.26,142103019
io_latency_v1-r03-p04-w01,io_latency_v1,1,3,True,21.03087323762103,25.0,25.0,23774.571524000065,0,52.57,72005714
io_latency_v1-r02-p01-w02,io_latency_v1,2,2,True,37.0270398953446,25.0,25.0,13503.644941999937,0,75.71000000000001,142071562
io_latency_v1-r02-p02-w04,io_latency_v1,4,2,True,56.153911136447796,25.0,25.0,8904.09928500003,0,122.83,292049387
io_latency_v1-r02-p03-w01,io_latency_v1,1,2,True,21.64260275343505,25.0,25.0,23102.581777999945,0,61.64,72257372
io_latency_v1-r02-p04-w08,io_latency_v1,8,2,True,64.14823996039749,25.0,25.0,7794.446118999986,0,175.05,596744602
transient_5pct_v1-r01-p01-w01,transient_5pct_v1,1,1,True,19.328848637249713,25.0,25.0,25868.069504999992,0,44.67,81663099
transient_5pct_v1-r01-p02-w02,transient_5pct_v1,2,1,True,32.01857816676139,25.0,25.0,15615.933893000034,0,83.16,151697489
transient_5pct_v1-r01-p03-w08,transient_5pct_v1,8,1,True,58.58202598829259,25.0,25.0,8535.041107999972,0,205.2,593567415
transient_5pct_v1-r01-p04-w04,transient_5pct_v1,4,1,True,54.58264603506839,25.0,25.0,9160.42068899992,0,152.83,295960576
io_latency_v1-r04-p01-w08,io_latency_v1,8,4,True,63.943604654476964,25.0,25.0,7819.390268999996,0,161.42000000000002,570205144
io_latency_v1-r04-p02-w01,io_latency_v1,1,4,True,21.319279529643236,25.0,25.0,23452.950148000014,0,59.49,75801559
io_latency_v1-r04-p03-w04,io_latency_v1,4,4,True,56.214867038988025,25.0,25.0,8894.444233999933,0,195.35000000000002,281479741
io_latency_v1-r04-p04-w02,io_latency_v1,2,4,True,38.14480927294976,25.0,25.0,13107.943374999992,0,87.17,142207877
