arm_id,workload,workers,repetition,valid_for_capacity_comparison,throughput_cases_per_second,case_latency_p95_ms,case_latency_p99_ms,end_to_end_ms,collector_missed_samples,worker_cluster_cpu_percent_peak,worker_cluster_rss_bytes_peak
transient_5pct_v1-r02-p01-w02,transient_5pct_v1,2,2,True,35.01653431832414,25.0,25.0,14278.968770999996,0,83.61,141243187
transient_5pct_v1-r02-p02-w04,transient_5pct_v1,4,2,True,52.55888297485645,25.0,25.0,9513.139771999988,0,169.32,281731399
transient_5pct_v1-r02-p03-w01,transient_5pct_v1,1,2,True,19.627283561379777,25.0,25.0,25474.742770000033,0,49.41,71135396
transient_5pct_v1-r02-p04-w08,transient_5pct_v1,8,2,False,64.13584750752118,25.0,25.0,7795.952177000004,0,239.38,593850529
transient_5pct_v1-r04-p01-w08,transient_5pct_v1,8,4,True,62.626605828918706,25.0,25.0,7983.827215000019,0,219.04,593420616
transient_5pct_v1-r04-p02-w01,transient_5pct_v1,1,4,True,20.30141440454384,25.0,25.0,24628.825855999992,0,41.16,84305510
transient_5pct_v1-r04-p03-w04,transient_5pct_v1,4,4,True,54.28233943604194,25.0,25.0,9211.098954000023,0,133.52,281741885
transient_5pct_v1-r04-p04-w02,transient_5pct_v1,2,4,True,34.788624436552674,25.0,25.0,14372.514237000018,0,78.9,141851362
transient_5pct_v1-r03-p01-w04,transient_5pct_v1,4,3,True,55.8393325574794,25.0,25.0,8954.261755999938,0,166.13,282129858
transient_5pct_v1-r03-p02-w08,transient_5pct_v1,8,3,False,65.23856240348735,25.0,25.0,7664.178694000043,0,156.55,573214557
transient_5pct_v1-r03-p03-w02,transient_5pct_v1,2,3,True,34.57395680010013,25.0,25.0,14461.752320999949,0,61.69,142449049
transient_5pct_v1-r03-p04-w01,transient_5pct_v1,1,3,True,19.917738059165178,25.0,25.0,25103.25211199995,0,28.55,71250739
io_latency_v1-r01-p01-w01,io_latency_v1,1,1,True,21.754756993071386,25.0,25.0,22983.478977000006,0,29.66,84336968
io_latency_v1-r01-p02-w02,io_latency_v1,2,1,True,38.154324632368706,25.0,25.0,13104.674367000029,0,60.66,150407741
io_latency_v1-r01-p03-w08,io_latency_v1,8,1,False,83.35217984466016,25.0,25.0,5998.643358000095,0,158.08,567803904
io_latency_v1-r01-p04-w04,io_latency_v1,4,1,True,65.65083784245277,25.0,25.0,7616.049031999978,0,111.34,289260175
io_latency_v1-r03-p01-w04,io_latency_v1,4,3,True,64.87811253497445,25.0,25.0,7706.759344000034,0,110.45,290749153
io_latency_v1-r03-p02-w08,io_latency_v1,8,3,False,77.6388881697808,25.0,25.0,6440.071615999955,0,205.22,571662663
io_latency_v1-r03-p03-w02,io_latency_v1,2,3,True,38.736882357826005,25.0,25.0,12907.595282999977,0,57.75,141463388
io_latency_v1-r03-p04-w01,io_latency_v1,1,3,True,21.100791245712074,25.0,25.0,23695.79387700003,0,30.24,71397540
io_latency_v1-r02-p01-w02,io_latency_v1,2,2,True,39.02142418014747,25.0,25.0,12813.473893000037,0,92.16,141526303
io_latency_v1-r02-p02-w04,io_latency_v1,4,2,False,58.311417237904095,25.0,25.0,8574.650105999921,0,154.44,284646441
io_latency_v1-r02-p03-w01,io_latency_v1,1,2,True,21.984749050313475,25.0,25.0,22743.03877,0,59.83,71114424
io_latency_v1-r02-p04-w08,io_latency_v1,8,2,False,76.7058103351005,25.0,25.0,6518.41102800006,0,184.51,568821023
transient_5pct_v1-r01-p01-w01,transient_5pct_v1,1,1,True,20.447361395409157,25.0,25.0,24453.03285500006,0,32.38,83644908
transient_5pct_v1-r01-p02-w02,transient_5pct_v1,2,1,True,34.181660751529556,25.0,25.0,14627.726945000064,0,78.12,152672666
transient_5pct_v1-r01-p03-w08,transient_5pct_v1,8,1,False,62.77179200420647,25.0,25.0,7965.361256000051,0,218.95999999999998,587464703
transient_5pct_v1-r01-p04-w04,transient_5pct_v1,4,1,True,51.80151959295709,25.0,25.0,9652.226496999901,0,133.16,305754276
io_latency_v1-r04-p01-w08,io_latency_v1,8,4,False,78.0156808928468,25.0,25.0,6408.967970000049,0,183.21,572501523
io_latency_v1-r04-p02-w01,io_latency_v1,1,4,True,21.422382100559904,25.0,25.0,23340.074770999992,0,27.83,71628227
io_latency_v1-r04-p03-w04,io_latency_v1,4,4,True,61.930690400370196,25.0,25.0,8073.541514999988,0,162.84,291053241
io_latency_v1-r04-p04-w02,io_latency_v1,2,4,True,37.027290902776585,25.0,25.0,13503.553400999863,0,82.6,155063419
