arm_id,source_commit,queue_size,tenant_count,distribution,worker_concurrency,claim_batch_size,sample_jobs,background_queue_jobs,claim_calls,successful_claim_calls,empty_claims,empty_while_eligible,contention_retries,contention_retry_per_success,max_retry_exits,waiting_fallbacks,tenant_turn_reserved,tenant_turn_without_job,reservation_miss_rate,claim_latency_p50_ms,claim_latency_p95_ms,claim_latency_p99_ms,reservation_latency_p50_ms,reservation_latency_p95_ms,reservation_latency_p99_ms,job_claim_latency_p50_ms,job_claim_latency_p95_ms,job_claim_latency_p99_ms,queue_wait_p50_ms,queue_wait_p95_ms,result_commit_latency_p50_ms,result_commit_latency_p95_ms,result_commit_latency_p99_ms,end_to_end_seconds,jobs_per_second,fair_explain_median_ms,legacy_fifo_explain_median_ms,fair_vs_legacy_latency_ratio,worker_process_cpu_percent,worker_process_rss_bytes_peak,postgres_connections_peak,postgres_lock_waiting_connections_peak,submitted_count,unique_job_count,terminal_count,lost_count,duplicate_durable_result_count,stale_success_accepted_count,stale_failure_accepted_count,illegal_state_transition_count,orphan_nonterminal_count,attempt_sequence_mismatch_count,fair_first_secondary_tenant_position,legacy_fifo_first_secondary_tenant_position,stale_evidence_scope,stale_evidence_source_commit,scheduler_coordination_wait_ms_count,scheduler_coordination_wait_ms_sum,scheduler_coordination_wait_ms_p50,scheduler_coordination_wait_ms_p95,scheduler_coordination_wait_ms_p99,tenant_permit_wait_ms_count,tenant_permit_wait_ms_sum,tenant_permit_wait_ms_p50,tenant_permit_wait_ms_p95,tenant_permit_wait_ms_p99,job_row_wait_ms_count,job_row_wait_ms_sum,job_row_wait_ms_p50,job_row_wait_ms_p95,job_row_wait_ms_p99,durable_sequence_wait_ms_count,durable_sequence_wait_ms_sum,durable_sequence_wait_ms_p50,durable_sequence_wait_ms_p95,durable_sequence_wait_ms_p99,transaction_commit_ms_count,transaction_commit_ms_sum,transaction_commit_ms_p50,transaction_commit_ms_p95,transaction_commit_ms_p99,claim_total_ms_count,claim_total_ms_sum,claim_total_ms_p50,claim_total_ms_p95,claim_total_ms_p99,generation_advance_count,job_skip_locked_miss_count,permit_consumed_count,permit_empty_count,permit_pending_count,round_created_count,performance_attribution_enabled
fair-q1000-single_tenant-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,16.101607499990678,21.848362000037014,25.572965979983923,6.622421000031409,10.945224750003035,12.866823800028273,9.421068500017782,13.353727450024167,14.597138419959556,3601662.8150000004,3602885.07195,9.756039500018687,14.4655944000192,19.809538270008634,2.9006801290000226,34.474673370646315,1.729,2.109,0.8198198198198199,66.35323256630565,95289344,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,100,146.853302,1.1299454999999998,2.0339361999999963,4.328907090000095,100,142.710563,1.272141,1.7495924999999999,4.335652100000001,100,271.521706,2.5502640000000003,3.4343441999999995,5.169674790000004,100,389.770277,3.679979,5.10872585,6.615294600000002,100,179.417185,1.625712,2.477744699999999,4.486994090000001,100,1820.768899,16.097986,21.84376055,25.566205740000473,100,0,100,0,100,100,True
fair-q1000-single_tenant-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,2,1,100,900,100,100,0,0,101,1.01,0,96,100,0,0.0,37.376320000021224,46.474935549997554,72.71073353005043,10.134662000041317,14.484126000013475,18.04740700004004,7.857666000006702,17.739255999970283,19.16289799999049,3601569.5434999997,3602812.3275,15.574620500018455,21.72367790001033,24.611525269950796,2.8292615449999516,35.34491188229885,1.692,2.083,0.812289966394623,86.9411202844466,96686080,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,201,531.608615,2.243458,3.652668,7.431226,100,249.285289,2.418673,3.2096246,4.281385630000012,100,419.13638,3.9262945,5.898409199999999,7.088595590000002,100,547.107352,5.216689499999999,6.484873100000001,8.953006310000005,201,360.453746,2.06147,3.180461,4.351619,100,3962.359888,37.3718215,46.471275999999996,72.70624431000022,100,0,100,0,100,100,True
fair-q1000-single_tenant-w4-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,4,1,100,900,100,100,0,0,248,2.48,0,153,100,0,0.0,100.14721400000326,292.0051493000244,297.352925950008,12.853855999964026,21.218572199970254,57.12615392000529,13.938903999985541,22.592265700009758,27.066936089996105,3601843.266,3603323.4875000003,21.919803000002958,29.16310340000336,54.474726350039774,3.371123238999985,29.663703433655588,1.7315,2.0599999999999996,0.8405339805825245,94.76942708708887,97693696,5,2,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,348,2339.067343,4.4342515,14.672098549999998,51.52745454,100,390.970175,3.872679,5.7015359499999985,7.447048540000002,100,447.784676,4.2427505,5.7476236,6.42735331000001,100,728.559843,6.9804665,10.3539739,13.153197380000009,348,1000.7015260000001,2.5950925,5.113608899999999,5.963891779999994,100,10617.434179,100.14227,292.00035584999995,297.3474426900003,100,0,100,0,100,100,True
fair-q1000-single_tenant-w8-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,1,single_tenant,8,1,100,900,100,100,0,0,418,4.18,0,230,100,0,0.0,61.71539299998585,1158.6343120499885,2155.0969628800117,18.614193000018986,30.366560400011622,90.55942432001183,14.591563500005122,32.36703309999594,42.866821160017125,3602661.708,3604171.85925,27.549579000009317,40.960554099996216,46.23625934998096,4.216246990999991,23.717775598407822,1.7345000000000002,2.0545,0.8442443416889756,95.44419756693537,97976320,9,7,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,518,6672.265125,11.0697075,22.361045649999998,82.69622973,100,485.216179,4.173827,6.769733299999997,9.853149110000196,100,480.889979,4.622249500000001,6.597416499999999,8.370759470000001,100,1036.990793,9.223213999999999,18.4108457,24.0302625800001,518,2329.67931,4.3286955,8.7768337,10.276831189999994,100,22951.353326,61.708476000000005,1158.6293634999995,2155.09191458,100,0,100,0,100,100,True
fair-q1000-balanced_multi_tenant-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,11.267413500007706,18.92212684999208,28.573443799988535,2.318631500003221,9.018423349996851,13.047558900006635,8.345870499994135,13.768548049992544,15.781393159980475,3601374.5585,3602388.2394,9.536404000016319,14.367582749966346,15.46858955997835,2.3863770800000452,41.9045258346171,1.7349999999999999,2.9045,0.5973489412979858,69.84614330103977,98254848,2,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,100,134.977245,1.1281375,1.4775916,2.15890255000009,100,150.855323,1.2644925,3.979327649999999,4.386337640000014,100,172.497758,1.5905015,2.22626125,2.5447697800000104,100,387.098999,3.5899355,6.0931029999999975,7.1060296,100,183.729172,1.628006,3.052921099999999,4.904889460000002,100,1355.757165,11.2639915,18.918617399999995,28.569295690000178,25,0,100,0,100,25,True
fair-q1000-balanced_multi_tenant-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,2,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,20.26020749997315,26.737042250005057,77.03149865998859,6.0152314999868395,11.69432725000092,46.88032939001406,13.05436850000774,18.042388799995024,30.13161144999688,3601116.7180000003,3601884.4274999998,14.268608499975244,20.7799635500038,21.444698499998943,1.8493055790000312,54.074351548797395,1.7505,2.887,0.6063387599584343,91.37336231439396,98873344,3,0,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,100,362.128805,2.287169,7.552023049999997,25.700503420000103,100,242.801233,2.1804135000000002,3.7605305499999995,4.407856230000002,100,231.098443,2.0512040000000002,3.2040381,5.9049451700000315,100,570.581323,5.7180184999999994,7.2062269,8.402560730000008,100,291.510978,2.661717,4.9475777,5.914122010000002,100,2128.768786,20.25635,26.732839149999997,77.02597348000005,25,0,100,0,100,25,True
fair-q1000-balanced_multi_tenant-w4-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,4,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,37.17270499998904,46.36913025001376,193.83692343001772,12.885150000016665,19.94422804998237,68.50692387999575,24.489947000034817,35.41058529999077,123.45544257999624,3601109.3775,3601831.49705,26.92004599995812,31.868054900010623,76.94286321001472,1.814997740000024,55.09648733777414,1.7425000000000002,2.899,0.6010693342531908,95.83537013109319,99385344,5,1,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,100,847.271221,6.752785,12.560912149999997,62.725372350000015,100,452.141292,4.501248,6.567372949999999,7.037187250000004,100,368.364672,2.7522314999999997,4.913076249999999,34.04498901000002,100,1202.707672,11.3428685,18.6484317,19.72842903000006,100,684.875662,5.9840175,8.825944249999997,50.85194533000001,100,4285.284853,37.1685375,46.3650373,193.83248473,25,0,100,0,100,25,True
fair-q1000-balanced_multi_tenant-w8-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,4,balanced_multi_tenant,8,1,100,900,100,100,0,0,88,0.88,0,55,100,0,0.0,106.3503839999953,262.1554585000041,450.33930551004926,23.09056749999172,62.59459385000258,155.5736392099856,34.532200499995724,67.05446494997888,168.65884367000547,3601420.598,3602360.8717,41.82020400000397,52.23806625003817,64.39297157000976,2.353969905999975,42.4814266933118,1.75,2.9210000000000003,0.5991098938719616,93.6671619454435,99487744,9,3,100,100,100,0,0,0,0,0,0,0,,,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,188,3378.416909,12.3815235,43.31194570000009,109.89845215999979,100,667.207795,6.4924325,10.0450752,10.67316521000007,100,496.795931,3.5333205000000003,7.9272344999999955,47.77215458000001,100,1911.61256,16.1413765,36.305882,78.80726522000009,188,1431.3964330000001,7.5907944999999994,11.465872000000001,14.843702289999996,100,13324.480495,106.346146,262.15060255,450.3352948100001,25,0,100,0,100,25,True
fair-q1000-skew_20_to_1-w1-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,2,skew_20_to_1,1,1,100,900,100,100,0,0,0,0.0,0,0,100,0,0.0,16.006494500004464,23.509835549995728,33.25743857997638,6.6395655000235365,9.47940880003557,13.648663750021369,9.272435499980247,13.705929150020777,22.66863056001853,3600284.818,3602515.3316,9.687826999993376,14.021436149994315,16.242310490035837,2.5774933619999842,38.797384107482564,1.738,2.099,0.8280133396855645,68.16931212721434,99487744,2,0,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,100,138.155899,1.125332,1.4122052999999997,4.244530570000085,100,146.566693,1.274055,2.532403849999998,4.268722210000002,100,215.209478,2.4688865,3.5059236999999994,5.174399880000004,100,383.027663,3.65128,4.5894720499999995,7.486610700000003,100,192.972317,1.651265,2.434996399999994,4.956226690000041,100,1522.730996,16.002873,23.50513345,33.25265717000016,52,0,100,0,100,52,True
fair-q1000-skew_20_to_1-w2-b1,f0cfd8e341bca94586a75cecce74430330ffd12b,1000,2,skew_20_to_1,2,1,100,900,100,100,0,0,3,0.03,0,3,100,0,0.0,22.207975999975815,31.39319465002756,77.17074665001806,8.919905999960065,13.325558600024578,45.61386455999481,13.604758000042239,19.829194500005077,30.64188363997804,3600263.097,3601980.4771000003,14.695046499980435,19.290404200035027,20.25807975003376,2.03037274899998,49.25204007453952,1.7360000000000002,2.0655,0.8404744613894941,87.95111675329207,99950592,3,1,100,100,100,0,0,0,0,0,0,0,2,953,referenced_fault_after_bundle_not_induced_per_arm,03d6987c75f2169c8207f2355f1f9d7528f9d223,103,466.98501600000003,3.531038,8.440799599999997,24.49596956000006,100,238.87214,2.170795,4.28995095,5.405154510000001,100,298.290372,2.8094205,4.5645074999999995,7.184297920000016,100,600.948407,5.877885,8.2844967,9.789447420000005,103,272.033208,2.571223,3.4758706999999998,6.681123580000003,100,2475.138259,22.203698,31.38890659999999,77.16601852000002,52,0,100,0,100,52,True
